10.0,5.879
10.5,5.890
11.0,5.900
11.5,5.907
12.0,5.919
12.5,5.930
13.3,5.939
14.0,5.953
14.5,5.963
15.0,5.970
15.5,5.979
16.0,5.990
16.5,5.997
17.0,6.007
17.5,6.015
18.0,6.024
18.5,6.033
19.0,6.041
19.5,6.050
20.1,6.065
20.6,6.072
21.0,6.081
21.5,6.090
22.0,6.099
22.5,6.111
23.0,6.119
23.5,6.130
24.0,6.140
24.5,6.147
25.0,6.159
25.7,6.173
26.0,6.178
26.6,6.193
27.0,6.204
27.6,6.216
28.0,6.222
28.5,6.233
29.0,6.243
29.5,6.256
30.0,6.265
30.7,6.283
31.0,6.289
31.5,6.300
32.0,6.312
32.5,6.321
33.1,6.334
33.5,6.344
34.0,6.353
34.5,6.363
35.0,6.373
35.5,6.385
36.0,6.393
36.5,6.405
37.0,6.416
37.5,6.428
38.3,6.440
39.0,6.456
39.5,6.466
40.0,6.477
40.5,6.485
41.0,6.497
41.5,6.507
42.0,6.520
42.6,6.532
43.1,6.540
43.5,6.548
44.0,6.555
44.6,6.568
45.0,6.576
45.5,6.584
46.0,6.593
46.5,6.606
47.0,6.612
47.5,6.624
48.1,6.636
48.5,6.642
49.0,6.652
49.5,6.661
50.0,6.669
50.5,6.680
51.0,6.690
51.5,6.696
52.0,6.705
52.5,6.718
53.0,6.724
53.5,6.734
54.0,6.743
54.5,6.753
55.0,6.765
